"set","n","result","instance","D","runtime","seed"
"GEN-ER",150,145,"150_ep0.075_degree_erdos_6.in",1,4.3851,1512087995732337920
"GEN-ER",150,140,"150_ep0.075_degree_erdos_6.in",2,28.3268,1512088000133249792
"GEN-ER",150,134,"150_ep0.075_degree_erdos_6.in",3,160.7336,1512088028479794432
"GEN-ER",150,129,"150_ep0.075_degree_erdos_6.in",4,600.1066,1512088189232347648
"GEN-ER",150,123,"150_ep0.075_degree_erdos_6.in",5,600.1032,1512088789362409472
"GEN-ER",150,116,"150_ep0.075_degree_erdos_6.in",6,600.1013,1512089389484929792
"GEN-ER",150,109,"150_ep0.075_degree_erdos_6.in",7,600.0821,1512089989601928192
"GEN-ER",150,99,"150_ep0.075_degree_erdos_6.in",8,600.0698,1512090589701354752
"GEN-ER",150,89,"150_ep0.075_degree_erdos_6.in",9,600.0991,1512091189787667712
"GEN-ER",150,60,"150_ep0.075_degree_erdos_6.in",10,600.1242,1512091789904069632
"GEN-ER",150,145,"150_ep0.075_degree_erdos_4.in",1,4.9388,1512092390044512768
"GEN-ER",150,139,"150_ep0.075_degree_erdos_4.in",2,19.7821,1512092394998458368
"GEN-ER",150,134,"150_ep0.075_degree_erdos_4.in",3,201.6705,1512092414798194432
"GEN-ER",150,128,"150_ep0.075_degree_erdos_4.in",4,477.4611,1512092616493131008
"GEN-ER",150,122,"150_ep0.075_degree_erdos_4.in",5,600.1006,1512093093973140992
"GEN-ER",150,115,"150_ep0.075_degree_erdos_4.in",6,600.0942,1.51209369409e+18
"GEN-ER",150,108,"150_ep0.075_degree_erdos_4.in",7,600.1912,1512094294206820608
"GEN-ER",150,98,"150_ep0.075_degree_erdos_4.in",8,600.0964,1512094894415386880
"GEN-ER",150,84,"150_ep0.075_degree_erdos_4.in",9,600.1125,1512095494531506688
"GEN-ER",150,52,"150_ep0.075_degree_erdos_4.in",10,600.1287,1512096094660831744
"GEN-ER",150,146,"150_ep0.1_degree_erdos_1.in",1,5.0061,1512096694811759104
"GEN-ER",150,142,"150_ep0.1_degree_erdos_1.in",2,30.5691,1512096699834367232
"GEN-ER",150,137,"150_ep0.1_degree_erdos_1.in",3,94.1678,1512096730423505664
"GEN-ER",150,132,"150_ep0.1_degree_erdos_1.in",4,124.0064,1512096824607434240
"GEN-ER",150,127,"150_ep0.1_degree_erdos_1.in",5,311.1219,1512096948633388288
"GEN-ER",150,122,"150_ep0.1_degree_erdos_1.in",6,600.0716,1512097259774750720
"GEN-ER",150,117,"150_ep0.1_degree_erdos_1.in",7,600.0985,1512097859862920704
"GEN-ER",150,111,"150_ep0.1_degree_erdos_1.in",8,600.1286,1.512098459978e+18
"GEN-ER",150,105,"150_ep0.1_degree_erdos_1.in",9,600.1368,1512099060123145984
"GEN-ER",150,100,"150_ep0.1_degree_erdos_1.in",10,600.1108,1512099660280063744
"GEN-ER",150,147,"150_ep0.125_degree_erdos_2.in",1,4.5806,1512100260411427840
"GEN-ER",150,143,"150_ep0.125_degree_erdos_2.in",2,10.3978,1512100265008479488
"GEN-ER",150,140,"150_ep0.125_degree_erdos_2.in",3,146.6296,1512100275423044608
"GEN-ER",150,136,"150_ep0.125_degree_erdos_2.in",4,149.671,1512100422072552192
"GEN-ER",150,132,"150_ep0.125_degree_erdos_2.in",5,256.7374,1512100571764413696
"GEN-ER",150,128,"150_ep0.125_degree_erdos_2.in",6,324.5265,1512100828524235776
"GEN-ER",150,124,"150_ep0.125_degree_erdos_2.in",7,600.0947,1512101153071204096
"GEN-ER",150,120,"150_ep0.125_degree_erdos_2.in",8,600.1278,1512101753184127232
"GEN-ER",150,116,"150_ep0.125_degree_erdos_2.in",9,600.1211,1512102353336453632
"GEN-ER",150,112,"150_ep0.125_degree_erdos_2.in",10,600.199,1512102953474538496
"GEN-ER",150,146,"150_ep0.1_degree_erdos_9.in",1,5.2742,1512103553693833216
"GEN-ER",150,142,"150_ep0.1_degree_erdos_9.in",2,7.9332,1512103558998140160
"GEN-ER",150,139,"150_ep0.1_degree_erdos_9.in",3,64.4094,1512103566947904768
"GEN-ER",150,135,"150_ep0.1_degree_erdos_9.in",4,187.2567,1512103631376655872
"GEN-ER",150,131,"150_ep0.1_degree_erdos_9.in",5,215.3405,1512103818654360576
"GEN-ER",150,125,"150_ep0.1_degree_erdos_9.in",6,268.6991,1512104034015591680
"GEN-ER",150,121,"150_ep0.1_degree_erdos_9.in",7,468.0653,1512104302734559744
"GEN-ER",150,116,"150_ep0.1_degree_erdos_9.in",8,600.0704,1512104770819662592
