"set","n","result","instance","D","runtime"
"BBGRL",100,94,"100_ep0.075_0_gilbert_10.in",1,532.9553
"BBGRL",100,88,"100_ep0.075_0_gilbert_10.in",2,552.3181
"BBGRL",100,1,"100_ep0.075_0_gilbert_10.in",3,0.2265
"BBGRL",100,1,"100_ep0.075_0_gilbert_10.in",4,0.2788
"BBGRL",100,1,"100_ep0.075_0_gilbert_10.in",5,0.2238
"BBGRL",100,1,"100_ep0.075_0_gilbert_10.in",6,0.1809
"BBGRL",100,1,"100_ep0.075_0_gilbert_10.in",7,0.1253
"BBGRL",100,1,"100_ep0.075_0_gilbert_10.in",8,0.104
"BBGRL",100,1,"100_ep0.075_0_gilbert_10.in",9,0.0852
"BBGRL",100,1,"100_ep0.075_0_gilbert_10.in",10,0.0607
"BBGRL",100,90,"100_ep0.05_0_gilbert_8.in",1,468.6282
"BBGRL",100,81,"100_ep0.05_0_gilbert_8.in",2,376.1373
"BBGRL",100,4,"100_ep0.05_0_gilbert_8.in",3,2.8133
"BBGRL",100,2,"100_ep0.05_0_gilbert_8.in",4,0.3949
"BBGRL",100,1,"100_ep0.05_0_gilbert_8.in",5,0.1249
"BBGRL",100,1,"100_ep0.05_0_gilbert_8.in",6,0.1222
"BBGRL",100,1,"100_ep0.05_0_gilbert_8.in",7,0.0917
"BBGRL",100,1,"100_ep0.05_0_gilbert_8.in",8,0.0647
"BBGRL",100,1,"100_ep0.05_0_gilbert_8.in",9,0.0939
"BBGRL",100,1,"100_ep0.05_0_gilbert_8.in",10,0.0591
"BBGRL",100,96,"100_ep0.1_0_gilbert_6.in",1,101.9955
"BBGRL",100,92,"100_ep0.1_0_gilbert_6.in",2,199.6261
"BBGRL",100,87,"100_ep0.1_0_gilbert_6.in",3,266.1319
"BBGRL",100,82,"100_ep0.1_0_gilbert_6.in",4,515.3379
"BBGRL",100,77,"100_ep0.1_0_gilbert_6.in",5,2082.8854
"BBGRL",100,66,"100_ep0.1_0_gilbert_6.in",6,774.9321
"BBGRL",100,2,"100_ep0.1_0_gilbert_6.in",7,0.3363
"BBGRL",100,1,"100_ep0.1_0_gilbert_6.in",8,0.0772
"BBGRL",100,1,"100_ep0.1_0_gilbert_6.in",9,0.0798
"BBGRL",100,1,"100_ep0.1_0_gilbert_6.in",10,0.059
"BBGRL",100,96,"100_ep0.1_0_gilbert_8.in",1,85.8025
"BBGRL",100,91,"100_ep0.1_0_gilbert_8.in",2,69.2383
"BBGRL",100,87,"100_ep0.1_0_gilbert_8.in",3,118.7437
"BBGRL",100,82,"100_ep0.1_0_gilbert_8.in",4,213.2228
"BBGRL",100,76,"100_ep0.1_0_gilbert_8.in",5,316.5702
"BBGRL",100,71,"100_ep0.1_0_gilbert_8.in",6,933.3368
"BBGRL",100,59,"100_ep0.1_0_gilbert_8.in",7,609.2359
"BBGRL",100,2,"100_ep0.1_0_gilbert_8.in",8,0.5993
"BBGRL",100,1,"100_ep0.1_0_gilbert_8.in",9,0.1121
"BBGRL",100,1,"100_ep0.1_0_gilbert_8.in",10,0.0653
"BBGRL",100,95,"100_ep0.075_0_gilbert_5.in",1,415.9373
"BBGRL",100,88,"100_ep0.075_0_gilbert_5.in",2,337.6846
"BBGRL",100,81,"100_ep0.075_0_gilbert_5.in",3,400.8167
"BBGRL",100,73,"100_ep0.075_0_gilbert_5.in",4,838.0723
"BBGRL",100,2,"100_ep0.075_0_gilbert_5.in",5,0.4413
"BBGRL",100,1,"100_ep0.075_0_gilbert_5.in",6,0.0824
"BBGRL",100,1,"100_ep0.075_0_gilbert_5.in",7,0.0716
"BBGRL",100,1,"100_ep0.075_0_gilbert_5.in",8,0.0616
"BBGRL",100,1,"100_ep0.075_0_gilbert_5.in",9,0.0674
"BBGRL",100,1,"100_ep0.075_0_gilbert_5.in",10,0.0491
"BBGRL",100,96,"100_ep0.1_0_gilbert_3.in",1,153.6074
"BBGRL",100,92,"100_ep0.1_0_gilbert_3.in",2,199.1871
"BBGRL",100,86,"100_ep0.1_0_gilbert_3.in",3,137.4758
"BBGRL",100,82,"100_ep0.1_0_gilbert_3.in",4,44.0437
"BBGRL",100,76,"100_ep0.1_0_gilbert_3.in",5,61.118
"BBGRL",100,71,"100_ep0.1_0_gilbert_3.in",6,222.14
"BBGRL",100,63,"100_ep0.1_0_gilbert_3.in",7,390.1937
"BBGRL",100,9,"100_ep0.1_0_gilbert_3.in",8,10.3109
"BBGRL",100,2,"100_ep0.1_0_gilbert_3.in",9,0.2378
"BBGRL",100,1,"100_ep0.1_0_gilbert_3.in",10,0.0564
"BBGRL",100,92,"100_ep0.05_0_gilbert_4.in",1,374.5947
"BBGRL",100,80,"100_ep0.05_0_gilbert_4.in",2,280.4851
"BBGRL",100,2,"100_ep0.05_0_gilbert_4.in",3,0.5227
"BBGRL",100,1,"100_ep0.05_0_gilbert_4.in",4,0.0968
"BBGRL",100,1,"100_ep0.05_0_gilbert_4.in",5,0.0862
"BBGRL",100,1,"100_ep0.05_0_gilbert_4.in",6,0.0765
"BBGRL",100,1,"100_ep0.05_0_gilbert_4.in",7,0.057
"BBGRL",100,1,"100_ep0.05_0_gilbert_4.in",8,0.0501
"BBGRL",100,1,"100_ep0.05_0_gilbert_4.in",9,0.0513
"BBGRL",100,1,"100_ep0.05_0_gilbert_4.in",10,0.0367
"BBGRL",100,92,"100_ep0.05_0_gilbert_5.in",1,136.2783
"BBGRL",100,84,"100_ep0.05_0_gilbert_5.in",2,115.0706
"BBGRL",100,76,"100_ep0.05_0_gilbert_5.in",3,229.2421
"BBGRL",100,63,"100_ep0.05_0_gilbert_5.in",4,169.1416
"BBGRL",100,12,"100_ep0.05_0_gilbert_5.in",5,2.6698
"BBGRL",100,4,"100_ep0.05_0_gilbert_5.in",6,0.5918
"BBGRL",100,3,"100_ep0.05_0_gilbert_5.in",7,0.1726
"BBGRL",100,2,"100_ep0.05_0_gilbert_5.in",8,0.1446
"BBGRL",100,1,"100_ep0.05_0_gilbert_5.in",9,0.0542
"BBGRL",100,1,"100_ep0.05_0_gilbert_5.in",10,0.0396
"BBGRL",100,91,"100_ep0.05_0_gilbert_2.in",1,523.3814
"BBGRL",100,80,"100_ep0.05_0_gilbert_2.in",2,523.5395
"BBGRL",100,2,"100_ep0.05_0_gilbert_2.in",3,0.421
"BBGRL",100,1,"100_ep0.05_0_gilbert_2.in",4,0.0972
"BBGRL",100,1,"100_ep0.05_0_gilbert_2.in",5,0.0769
