"set","n","result","instance","D","runtime"
"GBRL",100,94,"100_ep0.075_0_gilbert_10.in",1,519.7474
"GBRL",100,88,"100_ep0.075_0_gilbert_10.in",2,554.356
"GBRL",100,1,"100_ep0.075_0_gilbert_10.in",3,0.2263
"GBRL",100,1,"100_ep0.075_0_gilbert_10.in",4,0.1602
"GBRL",100,1,"100_ep0.075_0_gilbert_10.in",5,0.1276
"GBRL",100,1,"100_ep0.075_0_gilbert_10.in",6,0.1782
"GBRL",100,1,"100_ep0.075_0_gilbert_10.in",7,0.1551
"GBRL",100,1,"100_ep0.075_0_gilbert_10.in",8,0.1054
"GBRL",100,1,"100_ep0.075_0_gilbert_10.in",9,0.1082
"GBRL",100,1,"100_ep0.075_0_gilbert_10.in",10,0.0961
"GBRL",100,96,"100_ep0.1_0_gilbert_6.in",1,104.4397
"GBRL",100,92,"100_ep0.1_0_gilbert_6.in",2,198.763
"GBRL",100,87,"100_ep0.1_0_gilbert_6.in",3,260.5899
"GBRL",100,82,"100_ep0.1_0_gilbert_6.in",4,515.2401
"GBRL",100,77,"100_ep0.1_0_gilbert_6.in",5,2084.0896
"GBRL",100,66,"100_ep0.1_0_gilbert_6.in",6,772.0657
"GBRL",100,2,"100_ep0.1_0_gilbert_6.in",7,0.3514
"GBRL",100,1,"100_ep0.1_0_gilbert_6.in",8,0.0765
"GBRL",100,1,"100_ep0.1_0_gilbert_6.in",9,0.0889
"GBRL",100,1,"100_ep0.1_0_gilbert_6.in",10,0.0641
"GBRL",100,97,"100_ep0.125_0_gilbert_3.in",1,97.2313
"GBRL",100,94,"100_ep0.125_0_gilbert_3.in",2,244.355
"GBRL",100,90,"100_ep0.125_0_gilbert_3.in",3,177.7705
"GBRL",100,87,"100_ep0.125_0_gilbert_3.in",4,179.1837
"GBRL",100,84,"100_ep0.125_0_gilbert_3.in",5,211.1246
"GBRL",100,80,"100_ep0.125_0_gilbert_3.in",6,228.2425
"GBRL",100,76,"100_ep0.125_0_gilbert_3.in",7,204.5635
"GBRL",100,72,"100_ep0.125_0_gilbert_3.in",8,366.1224
"GBRL",100,67,"100_ep0.125_0_gilbert_3.in",9,347.8876
"GBRL",100,62,"100_ep0.125_0_gilbert_3.in",10,289.1341
"GBRL",100,96,"100_ep0.1_0_gilbert_8.in",1,106.9362
"GBRL",100,91,"100_ep0.1_0_gilbert_8.in",2,69.2038
"GBRL",100,87,"100_ep0.1_0_gilbert_8.in",3,111.5277
"GBRL",100,82,"100_ep0.1_0_gilbert_8.in",4,215.7891
"GBRL",100,76,"100_ep0.1_0_gilbert_8.in",5,326.5862
"GBRL",100,71,"100_ep0.1_0_gilbert_8.in",6,935.4775
"GBRL",100,59,"100_ep0.1_0_gilbert_8.in",7,611.4623
"GBRL",100,2,"100_ep0.1_0_gilbert_8.in",8,0.528
"GBRL",100,1,"100_ep0.1_0_gilbert_8.in",9,0.0898
"GBRL",100,1,"100_ep0.1_0_gilbert_8.in",10,0.065
"GBRL",100,95,"100_ep0.075_0_gilbert_5.in",1,413.746
"GBRL",100,88,"100_ep0.075_0_gilbert_5.in",2,340.9647
"GBRL",100,81,"100_ep0.075_0_gilbert_5.in",3,397.149
"GBRL",100,73,"100_ep0.075_0_gilbert_5.in",4,838.4338
"GBRL",100,2,"100_ep0.075_0_gilbert_5.in",5,0.4256
"GBRL",100,1,"100_ep0.075_0_gilbert_5.in",6,0.0972
"GBRL",100,1,"100_ep0.075_0_gilbert_5.in",7,0.1433
"GBRL",100,1,"100_ep0.075_0_gilbert_5.in",8,0.1115
"GBRL",100,1,"100_ep0.075_0_gilbert_5.in",9,0.1189
"GBRL",100,1,"100_ep0.075_0_gilbert_5.in",10,0.0899
