GRASP,FFM,M-FFM,REF
44,44,44,44
38,38,38,38
31,31,31,31
25,25,25,25
43,43,43,43
35,35,35,35
28,28,28,28
21,21,21,21
94,94,95,94
87,87,87,87
80,80,80,80
73,73,73,73
94,94,94,94
86,86,86,86
79,79,79,79
72,72,72,72
116,125,119,115
107,109,107,104
97,97,97,91
87,86,86,76
119,119,119,119
113,113,113,113
108,108,108,108
102,102,102,102
141,144,144,140
132,133,133,128
122,123,123,116
112,112,112,101
143,144,143,143
136,136,136,136
128,128,128,128
119,119,119,119
193,193,193,193
185,185,185,185
176,176,176,176
168,168,168,168
294,296,294,294
286,292,288,286
279,288,282,279
272,284,276,272
