GRASP,FFM,M-FFM,REF
41,41,41,41
32,32,32,32
22,22,22,22
7,7,7,7
44,44,44,44
36,36,36,36
25,25,25,25
2,2,2,2
36,36,36,36
24,24,24,24
17,17,17,17
15,15,15,15
44,44,44,44
38,38,38,38
31,31,31,31
25,25,25,25
43,43,43,43
35,35,35,35
28,28,28,28
21,21,21,21
91,92,92,91
81,81,81,81
68,69,69,69
2,2,2,2
89,94,90,89
77,75,75,76
2,2,2,2
1,1,1,1
3,3,3,3
1,1,1,1
1,1,1,1
1,1,1,1
94,94,95,94
87,87,87,87
80,80,80,80
73,73,73,73
94,94,94,94
86,86,86,86
79,79,79,79
72,72,72,72
116,125,119,115
107,109,107,104
97,97,97,91
87,86,86,76
119,119,119,119
113,113,113,113
108,108,108,108
102,102,102,102
141,144,144,140
132,133,133,128
122,123,123,116
112,112,112,101
143,144,143,143
136,136,136,136
128,128,128,128
119,119,119,119
193,193,193,193
185,185,185,185
176,176,176,176
168,168,168,168
294,296,294,294
286,292,288,286
279,288,282,279
272,284,276,272
489,500,500,489
476,500,500,476
464,500,500,466
453,2,2,2
485,500,500,484
3,3,3,3
1,1,1,1
420,1,1,1
270,500,500,362
116,500,38,86
48,110,18,18
7,7,7,7
981,1000,1000,980
2,2,2,2
1,1,1,1
1,1,1,1
991,1000,992,990
979,1000,984,979
969,1000,1000,968
955,1000,1000,959
606,1000,1000,888
348,24,10,9
15,3,3,3
37,1,1,1
