set,n,result,instance,D,runtime
BBGRL,50,9,50_ep0.15_0_gilbert_7.in,2,1.6966
BBGRL,50,18,50_ep0.15_0_gilbert_7.in,4,0.9282
BBGRL,50,28,50_ep0.15_0_gilbert_7.in,6,0.7629
BBGRL,50,43,50_ep0.15_0_gilbert_7.in,8,0.076
BBGRL,100,8,100_ep0.1_0_gilbert_2.in,2,50.0222
BBGRL,100,19,100_ep0.1_0_gilbert_2.in,4,50.0034
BBGRL,100,31,100_ep0.1_0_gilbert_2.in,6,50.0014
BBGRL,100,98,100_ep0.1_0_gilbert_2.in,8,0.0931
BBGRL,500,0,500_ep0.02_0_gilbert_4.in,2,250.1377
BBGRL,500,0,500_ep0.02_0_gilbert_4.in,4,250.1022
BBGRL,500,0,500_ep0.02_0_gilbert_4.in,6,250.0158
BBGRL,500,498,500_ep0.02_0_gilbert_4.in,8,3.8364
BBGRL,1000,0,1000_ep0.0075_0_gilbert_1.in,2,501.0913
BBGRL,1000,998,1000_ep0.0075_0_gilbert_1.in,4,21.8244
BBGRL,1000,999,1000_ep0.0075_0_gilbert_1.in,6,13.4181
BBGRL,1000,999,1000_ep0.0075_0_gilbert_1.in,8,9.7576
GBRL,50,6,50_ep0.25_0_gilbert_3.in,2,6.257
GBRL,50,14,50_ep0.25_0_gilbert_3.in,4,3.5411
GBRL,50,25,50_ep0.25_0_gilbert_3.in,6,11.6125
GBRL,50,48,50_ep0.25_0_gilbert_3.in,8,0.0425
GBRL,50,14,50_r0.334_0_geom_5.gin,2,0.3655
GBRL,50,26,50_r0.334_0_geom_5.gin,4,0.2787
GBRL,50,33,50_r0.334_0_geom_5.gin,6,0.0595
GBRL,50,35,50_r0.334_0_geom_5.gin,8,0.024
GBRL,100,6,100_ep0.075_0_gilbert_8.in,2,50.0046
GBRL,100,25,100_ep0.075_0_gilbert_8.in,4,50.002
GBRL,100,98,100_ep0.075_0_gilbert_8.in,6,0.1057
GBRL,100,99,100_ep0.075_0_gilbert_8.in,8,0.0804
GBRL,100,97,100_r0.169_0_geom_9.gin,2,0.5613
GBRL,100,99,100_r0.169_0_geom_9.gin,4,0.159
GBRL,100,99,100_r0.169_0_geom_9.gin,6,0.0896
GBRL,100,99,100_r0.169_0_geom_9.gin,8,0.0626
GBRL,500,0,500_ep0.015_0_gilbert_5.in,2,250.4578
GBRL,500,497,500_ep0.015_0_gilbert_5.in,4,250.0383
GBRL,500,499,500_ep0.015_0_gilbert_5.in,6,3.1425
GBRL,500,499,500_ep0.015_0_gilbert_5.in,8,2.3993
GBRL,500,0,500_r0.083_0_geom_9.gin,2,250.1
GBRL,500,0,500_r0.083_0_geom_9.gin,4,250.012
GBRL,500,390,500_r0.083_0_geom_9.gin,6,250.2278
GBRL,500,493,500_r0.083_0_geom_9.gin,8,5.5333
GBRL,1000,0,1000_ep0.0125_0_gilbert_3.in,2,502.9416
GBRL,1000,0,1000_ep0.0125_0_gilbert_3.in,4,500.4845
GBRL,1000,0,1000_ep0.0125_0_gilbert_3.in,6,500.4744
GBRL,1000,0,1000_ep0.0125_0_gilbert_3.in,8,500.2583
GBRL,1000,0,1000_r0.058_0_geom_4.gin,2,500.7596
GBRL,1000,976,1000_r0.058_0_geom_4.gin,4,503.179
GBRL,1000,997,1000_r0.058_0_geom_4.gin,6,111.3228
GBRL,1000,999,1000_r0.058_0_geom_4.gin,8,13.8701
GEN,50,6,50_ep0.25_degree_erdos_6.in,2,2.3755
GEN,50,12,50_ep0.25_degree_erdos_6.in,4,0.2656
GEN,50,19,50_ep0.25_degree_erdos_6.in,6,0.3604
GEN,50,25,50_ep0.25_degree_erdos_6.in,8,0.2798
GEN,50,7,50_ep4_degree_social_9.sin,2,0.7747
GEN,50,15,50_ep4_degree_social_9.sin,4,0.1059
GEN,50,22,50_ep4_degree_social_9.sin,6,0.1046
GEN,50,29,50_ep4_degree_social_9.sin,8,0.0948
GEN,100,6,100_ep0.125_degree_erdos_2.in,2,50.0382
GEN,100,13,100_ep0.125_degree_erdos_2.in,4,50.0017
GEN,100,20,100_ep0.125_degree_erdos_2.in,6,31.65
GEN,100,27,100_ep0.125_degree_erdos_2.in,8,50.3447
GEN,100,6,100_ep5_degree_social_6.sin,2,38.4898
GEN,100,14,100_ep5_degree_social_6.sin,4,8.5381
GEN,100,21,100_ep5_degree_social_6.sin,6,1.7593
GEN,100,28,100_ep5_degree_social_6.sin,8,0.9763
GEN,125,0,125_ep0.15_degree_erdos_3.in,2,62.5028
GEN,125,16,125_ep0.15_degree_erdos_3.in,4,62.5022
GEN,125,28,125_ep0.15_degree_erdos_3.in,6,62.501
GEN,125,39,125_ep0.15_degree_erdos_3.in,8,62.5015
GEN,125,6,125_ep7_degree_social_0.sin,2,38.8598
GEN,125,12,125_ep7_degree_social_0.sin,4,23.3646
GEN,125,17,125_ep7_degree_social_0.sin,6,8.1603
