set,n,result,instance,D,runtime
BBGRL,50,9,50_ep0.15_0_gilbert_7.in,2,6.4716
BBGRL,50,18,50_ep0.15_0_gilbert_7.in,4,8.3208
BBGRL,50,28,50_ep0.15_0_gilbert_7.in,6,9.7786
BBGRL,50,43,50_ep0.15_0_gilbert_7.in,8,9.3301
BBGRL,100,9,100_ep0.1_0_gilbert_2.in,2,50.9226
BBGRL,100,19,100_ep0.1_0_gilbert_2.in,4,50.6332
BBGRL,100,32,100_ep0.1_0_gilbert_2.in,6,50.5559
BBGRL,100,98,100_ep0.1_0_gilbert_2.in,8,18.8294
BBGRL,500,11,500_ep0.02_0_gilbert_4.in,2,305.6219
BBGRL,500,24,500_ep0.02_0_gilbert_4.in,4,261.4232
BBGRL,500,35,500_ep0.02_0_gilbert_4.in,6,278.3017
BBGRL,500,47,500_ep0.02_0_gilbert_4.in,8,272.0419
BBGRL,1000,19,1000_ep0.0075_0_gilbert_1.in,2,696.672
BBGRL,1000,36,1000_ep0.0075_0_gilbert_1.in,4,562.2395
BBGRL,1000,999,1000_ep0.0075_0_gilbert_1.in,6,502.4892
BBGRL,1000,999,1000_ep0.0075_0_gilbert_1.in,8,514.8578
GBRL,50,6,50_ep0.25_0_gilbert_3.in,2,7.1373
GBRL,50,14,50_ep0.25_0_gilbert_3.in,4,9.8265
GBRL,50,25,50_ep0.25_0_gilbert_3.in,6,11.8747
GBRL,50,48,50_ep0.25_0_gilbert_3.in,8,8.8039
GBRL,50,14,50_r0.334_0_geom_5.gin,2,15.0203
GBRL,50,26,50_r0.334_0_geom_5.gin,4,11.5242
GBRL,50,33,50_r0.334_0_geom_5.gin,6,12.8488
GBRL,50,35,50_r0.334_0_geom_5.gin,8,13.1479
GBRL,100,11,100_ep0.075_0_gilbert_8.in,2,50.8447
GBRL,100,25,100_ep0.075_0_gilbert_8.in,4,50.4776
GBRL,100,98,100_ep0.075_0_gilbert_8.in,6,35.7204
GBRL,100,99,100_ep0.075_0_gilbert_8.in,8,26.5909
GBRL,100,97,100_r0.169_0_geom_9.gin,2,34.7511
GBRL,100,99,100_r0.169_0_geom_9.gin,4,21.2066
GBRL,100,99,100_r0.169_0_geom_9.gin,6,14.3191
GBRL,100,99,100_r0.169_0_geom_9.gin,8,9.8284
GBRL,500,15,500_ep0.015_0_gilbert_5.in,2,295.9495
GBRL,500,35,500_ep0.015_0_gilbert_5.in,4,302.7784
GBRL,500,499,500_ep0.015_0_gilbert_5.in,6,248.6724
GBRL,500,78,500_ep0.015_0_gilbert_5.in,8,277.7854
GBRL,500,230,500_r0.083_0_geom_9.gin,2,269.2661
GBRL,500,384,500_r0.083_0_geom_9.gin,4,260.7205
GBRL,500,452,500_r0.083_0_geom_9.gin,6,257.4612
GBRL,500,493,500_r0.083_0_geom_9.gin,8,255.5079
GBRL,1000,10,1000_ep0.0125_0_gilbert_3.in,2,589.7798
GBRL,1000,21,1000_ep0.0125_0_gilbert_3.in,4,678.4454
GBRL,1000,32,1000_ep0.0125_0_gilbert_3.in,6,679.6329
GBRL,1000,45,1000_ep0.0125_0_gilbert_3.in,8,654.8908
GBRL,1000,348,1000_r0.058_0_geom_4.gin,2,531.9317
GBRL,1000,652,1000_r0.058_0_geom_4.gin,4,574.6141
GBRL,1000,985,1000_r0.058_0_geom_4.gin,6,577.6437
GBRL,1000,963,1000_r0.058_0_geom_4.gin,8,567.7627
GEN,50,5,50_ep0.25_degree_erdos_6.in,2,3.953
GEN,50,10,50_ep0.25_degree_erdos_6.in,4,5.3834
GEN,50,15,50_ep0.25_degree_erdos_6.in,6,6.7737
GEN,50,20,50_ep0.25_degree_erdos_6.in,8,8.1513
GEN,50,7,50_ep4_degree_social_9.sin,2,5.2878
GEN,50,13,50_ep4_degree_social_9.sin,4,5.813
GEN,50,18,50_ep4_degree_social_9.sin,6,6.8468
GEN,50,24,50_ep4_degree_social_9.sin,8,7.5073
GEN,100,5,100_ep0.125_degree_erdos_2.in,2,9.6495
GEN,100,10,100_ep0.125_degree_erdos_2.in,4,11.8743
GEN,100,15,100_ep0.125_degree_erdos_2.in,6,14.4272
GEN,100,20,100_ep0.125_degree_erdos_2.in,8,16.6719
GEN,100,5,100_ep5_degree_social_6.sin,2,22.4465
GEN,100,9,100_ep5_degree_social_6.sin,4,11.2691
GEN,100,14,100_ep5_degree_social_6.sin,6,12.8386
GEN,100,20,100_ep5_degree_social_6.sin,8,14.5779
GEN,125,8,125_ep0.15_degree_erdos_3.in,2,25.4256
GEN,125,15,125_ep0.15_degree_erdos_3.in,4,29.5474
GEN,125,22,125_ep0.15_degree_erdos_3.in,6,33.8109
GEN,125,29,125_ep0.15_degree_erdos_3.in,8,30.363
