set,n,result,instance,D,runtime
BBGRL,50,9,50_ep0.15_0_gilbert_7.in,2,1.4757
BBGRL,50,18,50_ep0.15_0_gilbert_7.in,4,0.8526
BBGRL,50,28,50_ep0.15_0_gilbert_7.in,6,0.7001
BBGRL,50,43,50_ep0.15_0_gilbert_7.in,8,0.0712
BBGRL,100,8,100_ep0.1_0_gilbert_2.in,2,50.0022
BBGRL,100,19,100_ep0.1_0_gilbert_2.in,4,50.0101
BBGRL,100,31,100_ep0.1_0_gilbert_2.in,6,50.0012
BBGRL,100,98,100_ep0.1_0_gilbert_2.in,8,0.0815
BBGRL,500,0,500_ep0.02_0_gilbert_4.in,2,250.1428
BBGRL,500,0,500_ep0.02_0_gilbert_4.in,4,250.0132
BBGRL,500,0,500_ep0.02_0_gilbert_4.in,6,250.0158
BBGRL,500,498,500_ep0.02_0_gilbert_4.in,8,3.565
BBGRL,1000,0,1000_ep0.0075_0_gilbert_1.in,2,500.5568
BBGRL,1000,998,1000_ep0.0075_0_gilbert_1.in,4,18.1284
BBGRL,1000,999,1000_ep0.0075_0_gilbert_1.in,6,12.9264
BBGRL,1000,999,1000_ep0.0075_0_gilbert_1.in,8,9.9005
GBRL,50,6,50_ep0.25_0_gilbert_3.in,2,4.5994
GBRL,50,14,50_ep0.25_0_gilbert_3.in,4,2.1898
GBRL,50,25,50_ep0.25_0_gilbert_3.in,6,2.142
GBRL,50,48,50_ep0.25_0_gilbert_3.in,8,0.0753
GBRL,50,14,50_r0.334_0_geom_5.gin,2,0.2284
GBRL,50,26,50_r0.334_0_geom_5.gin,4,0.1254
GBRL,50,33,50_r0.334_0_geom_5.gin,6,0.0361
GBRL,50,35,50_r0.334_0_geom_5.gin,8,0.0289
GBRL,100,10,100_ep0.075_0_gilbert_8.in,2,50.0126
GBRL,100,25,100_ep0.075_0_gilbert_8.in,4,50.0014
GBRL,100,98,100_ep0.075_0_gilbert_8.in,6,0.0964
GBRL,100,99,100_ep0.075_0_gilbert_8.in,8,0.0827
GBRL,100,97,100_r0.169_0_geom_9.gin,2,0.5389
GBRL,100,99,100_r0.169_0_geom_9.gin,4,0.1299
GBRL,100,99,100_r0.169_0_geom_9.gin,6,0.0788
